站名,车站地址,铁路局,类别,性质,省,市,lng火星,lat火星,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
清华园站,北京海淀区知春路大运村北航西门对面,北京铁路局, ,客运站,北京,海淀区,116.339398,39.982418,116.333229,39.981082,116.34582507178,39.9885747022668
昌平北站,北京市昌平区昌平北站,北京铁路局, ,客运站,北京,昌平区,116.233135,40.231278,116.227054,40.2300329999999,116.239566122751,40.2375463752502
昌平站,北京市昌平区马池口下念头村,北京铁路局, ,客运站,北京,昌平区,116.193638,40.190089,116.187485,40.188802,116.200065876377,40.196389528153
南口站,北京市昌平区南口镇交通街84号,北京铁路局, ,客运站,北京,昌平区,116.129665,40.2392609999999,116.123338,40.237858,116.136079229742,40.2455927955888
官高,北京市昌平区南邵镇官高村,北京铁路局, ,乘降所,北京,昌平区,116.30933,40.237749,116.303196,40.236446,116.3157621364,40.2439388134364
北京东站,北京市朝阳区百子湾路27号,北京铁路局, ,客运站,北京,朝阳区,116.484666,39.902777,116.478602,39.90151,116.49117647987,39.9088086761589
黄村站,北京市大兴区黄村镇林校路,北京铁路局, ,客运站,北京,大兴区,116.332264,39.7214949999999,116.326143,39.72019,116.338674645328,39.7276536602368
北京站,北京市东城区毛家湾胡同甲13号,北京铁路局, ,客运站,北京,东城区,116.427257999999,39.903708,116.421034,39.902318,116.433733212254,39.9097913506924
云居寺,北京市房山区大石窝乡云居寺火车站,北京铁路局, ,乘降所,北京,房山区,115.800427,39.6215839999999,115.794296,39.620454,115.806827894875,39.6278682625066
孤山口,北京市房山区韩村河镇下中院村,北京铁路局, ,乘降所,北京,房山区,115.860834,39.6373639999999,115.854867,39.6363369999999,115.867223383668,39.6436820668668
平峪,北京市房山区平峪镇平峪火车站,北京铁路局, ,乘降所,北京,房山区,115.552252999999,39.6664779999999,115.546156999999,39.6654399999999,115.558734450465,39.6725417899602
南观村,北京市房山区青龙湖镇南观村火车站,北京铁路局, ,乘降所,北京,房山区,116.002951999999,39.7733739999999,115.996829,39.7721639999999,116.009299097513,39.7796993389949
上万,北京市房山区青龙湖镇上万站,北京铁路局, ,乘降所,北京,房山区,116.042595,39.823433,116.036343,39.822108,116.048950105373,39.8297589162313
十渡站,北京市房山区十渡镇十渡村,北京铁路局, ,客运站,北京,房山区,115.589382,39.6471969999999,115.583354,39.6462059999999,115.595837371386,39.6532903811312
燕山站,北京市房山区燕山中路7号,北京铁路局, ,客运站,北京,房山区,115.95867,39.750025,115.95269,39.748942,115.965024344596,39.7563514957461
三合庄,北京市房山区张坊镇三合庄火车站,北京铁路局, ,乘降所,北京,房山区,115.71283,39.63589,115.706637,39.634739,115.719230524096,39.6420895561194
良各庄,北京市房山区周口店镇良各庄火车站,北京铁路局, ,乘降所,北京,房山区,115.937506,39.719189,115.931573,39.718152,115.943866304998,39.725516250417
北京南站,北京市丰台区车站路12号,北京铁路局, ,客运站,北京,丰台区,116.379054,39.864896,116.372828,39.863505,116.385493552186,39.8710155849621
大灰厂,北京市丰台区大灰厂村大灰厂火车站,北京铁路局, ,乘降所,北京,丰台区,116.134049,39.8596769999999,116.127779,39.858307,116.140444018482,39.8659994059574
北京西站,北京市丰台区莲花池东路118号,北京铁路局, ,客运站,北京,丰台区,116.321147999999,39.894755,116.315031,39.8934569999999,116.327563894255,39.9009269287143
清河站,北京市海淀区清河火车站,北京铁路局, ,客运站,北京,海淀区,116.315062,40.041651,116.308941,40.0403579999999,116.321485753078,40.0478316984857
怀柔站,北京市怀柔区府前东街1号,北京铁路局, ,客运站,北京,怀柔区,116.648861,40.3171,116.642945999999,40.3159679999999,116.655416570112,40.3229375519359
怀柔北站,北京市怀柔区怀柔北站,北京铁路局, ,客运站,北京,怀柔区,116.692719,40.4088089999999,116.68667,40.4075679999999,116.699288948507,40.4146054269786
庙城,北京市怀柔区庙城镇庙城火车站,北京铁路局, ,乘降所,北京,怀柔区,116.631421,40.3011539999999,116.625547999999,40.3000529999999,116.637973757813,40.3070120106195
北宅,北京市怀柔区桥梓镇北宅村,北京铁路局, ,乘降所,北京,怀柔区,116.570563,40.3433769999999,116.564708999999,40.342272,116.577114752304,40.3493135749469
斜河涧,北京市门头沟区妙峰山斜河涧火车站,北京铁路局, ,乘降所,北京,门头沟区,116.064616,39.977927,116.0583,39.976553,116.070987005509,39.9842576551672
三家店站,北京市门头沟区三家店火车站,北京铁路局, ,客运站,北京,门头沟区,116.120502,39.95018,116.114195,39.948791,116.126896425308,39.9565072332659
安家庄,北京市门头沟区王平镇安家庄火车站,北京铁路局, ,乘降所,北京,门头沟区,115.953993999999,39.9976989999999,115.947993999999,39.9966119999999,115.960361270272,40.0040302945244
落坡岭,北京市门头沟区王平镇落坡岭火车站,北京铁路局, ,乘降所,北京,门头沟区,115.986624,39.987619,115.98053,39.986446,115.99298321181,39.9939483769273
雁翅,北京市门头沟区雁翅镇雁翅火车站,北京铁路局, ,乘降所,北京,门头沟区,115.89764,40.035088,115.891685,40.0340599999999,115.904033609627,40.0414208415561
珠窝,北京市门头沟区雁翅镇珠窝火车站,北京铁路局, ,乘降所,北京,门头沟区,115.802701,40.057462,115.796521,40.0562979999999,115.809121683354,40.0637556064222
沿河城,北京市门头沟区斋堂镇沿河城火车站,北京铁路局, ,乘降所,北京,门头沟区,115.726685,40.1026209999999,115.720419,40.101418,115.73310717254,40.1088438955488
密云站,北京市密云县车站路1号,北京铁路局, ,客运站,北京,密云县,116.853469,40.395473,116.847451,40.394317,116.860105497036,40.4011751611815
统军庄,北京市密云县十里堡镇统军庄村,北京铁路局, ,乘降所,北京,密云县,116.753969,40.343077,116.747829,40.3417999999999,116.760569880041,40.3488319630553
张辛,北京市顺义区李桥镇张辛火车站,北京铁路局, ,乘降所,北京,顺义区,116.686269999999,40.01221,116.680288,40.011048,116.692819241706,40.0180063713608
高各庄,北京市顺义区牛栏山镇高各庄火车站,北京铁路局, ,乘降所,北京,怀柔区,116.624818,40.2589279999999,116.618962,40.2578439999999,116.631368184043,40.2647934429247
顺义站,北京市顺义区站前北街17号,北京铁路局, ,客运站,北京,顺义区,116.645463,40.125875,116.63958,40.12478,116.652009058433,40.1317131686478
通州西站,北京市通州区五里店西路11号,北京铁路局, ,客运站,北京,通州区,116.627183,39.9044239999999,116.621367,39.903368,116.633714461872,39.9102804291944
